29;АЛЬФА-БАНК, 002Р-05;RU000A100PQ8;09.08.2019;09.08.2019;BUY;1000,00;30 000;100,0000;8 250,00;100,0000;102,4900;0;30 000;30 000 000,00;8 250,00;30 000 000,00;30 747 000,00;747 000,00;0,00;0,00;0,00;506 400,00;16,88;ДУ-001;СССД_ЦБ
30;АЛЬФА-БАНК, БО-15;RU000A0JV0U1;24.03.2020;24.03.2020;BUY;1000,00;12 386;99,4000;3 077,92;99,4000;99,4000;0;12 386;12 311 684,00;3 077,92;12 311 684,00;12 311 684,00;0,00;0,00;0,00;296 768,56;381 612,66;30,81;ДУ-001;СССД_ЦБ
31;АЛЬФА-БАНК, БО-18;RU000A0JX5W4;23.01.2017;23.01.2017;BUY;1000,00;289 000;100,0000;79 475,01;100,0000;99,8600;0;289 000;289 000 000,00;79 475,01;289 000 000,00;288 595 400,00;-404 600,00;0,00;0,00;0,00;5 043 050,00;17,45;ДУ-001;СССД_ЦБ
32;АЛЬФА-БАНК, БО-18;RU000A0JX5W4;19.11.2018;19.11.2018;BUY;1000,00;178 642;101,3000;28 944,65;100,0000;99,8600;0;178 642;180 964 346,00;28 944,65;178 642 000,00;178 391 901,20;-250 098,80;0,00;-2 322 346,00;0,00;3 117 302,90;17,45;ДУ-001;СССД_ЦБ
33;АЛЬФА-БАНК, БО-40;RU000A0ZYU21;22.05.2019;22.05.2019;BUY;1000,00;100 000;98,5500;16 582,50;98,5500;100,1800;0;100 000;98 550 000,00;16 582,50;98 550 000,00;100 180 000,00;1 630 000,00;0,00;0,00;0,00;1 269 000,00;12,69;ДУ-001;СССД_ЦБ
34;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;23.04.2019;23.04.2019;BUY;1000,00;410 000;100,0000;112 750,00;100,0000;102,8698;0;410 000;410 000 000,00;112 750,00;410 000 000,00;421 766 342,19;11 766 342,19;0,00;0,00;0,00;287 000,00;0,70;ДУ-001;СССД_ЦБ
35;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;01.04.2020;BUY;1000,00;200 000;101,0000;32 100,00;100,0000;102,8698;0;200 000;202 000 000,00;32 100,00;200 000 000,00;205 739 679,12;5 739 679,12;0,00;-2 000 000,00;7 542 000,00;140 000,00;0,70;ДУ-001;СССД_ЦБ
36;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;01.04.2020;BUY;1000,00;5 957;101,0000;1 504,14;100,0000;102,8698;0;5 957;6 016 570,00;1 504,14;5 957 000,00;6 127 956,34;170 956,34;0,00;-59 570,00;224 638,47;4 169,90;0,70;ДУ-001;СССД_ЦБ
37;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;01.04.2020;BUY;1000,00;16 462;101,0000;4 156,65;100,0000;102,8698;0;16 462;16 626 620,00;4 156,65;16 462 000,00;16 934 432,99;472 432,99;0,00;-164 620,00;620 782,02;11 523,40;0,70;ДУ-001;СССД_ЦБ
38;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;01.04.2020;BUY;1000,00;29 090;101,0000;6 207,14;100,0000;102,8698;0;29 090;29 380 900,00;6 207,14;29 090 000,00;29 924 836,33;834 836,33;0,00;-290 900,00;1 096 983,90;20 363,00;0,70;ДУ-001;СССД_ЦБ
39;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;01.04.2020;BUY;1000,00;21 067;101,0000;4 991,65;100,0000;102,8698;0;21 067;21 277 670,00;4 991,65;21 067 000,00;21 671 589,10;604 589,10;0,00;-210 670,00;794 436,57;14 746,90;0,70;ДУ-001;СССД_ЦБ
40;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;01.04.2020;BUY;1000,00;4 400;101,0000;1 111,00;100,0000;102,8698;0;4 400;4 444 000,00;1 111,00;4 400 000,00;4 526 272,94;126 272,94;0,00;-44 000,00;165 924,00;3 080,00;0,70;ДУ-001;СССД_ЦБ
41;"Буровая компания ""Евразия"", БО-001Р-02";RU000A100A33;01.04.2020;01.04.2020;BUY;1000,00;11 500;101,0000;2 903,75;100,0000;102,8698;0;11 500;11 615 000,00;2 903,75;11 500 000,00;11 830 031,55;330 031,55;0,00;-115 000,00;433 665,00;8 050,00;0,70;ДУ-001;СССД_ЦБ
